election_number,date,candidates,perks,mayor,minister
157,"Aug 31, 2021","Barry,Diana,Diaz,Foxy,Marina","Perks.ArcaneCatalyst,Perks.PetXPBuff,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.ExtraEventMining_Fiesta,Perks.FishingXPBuff",Foxy,Diaz
158,"Sep 6, 2021","Cole,Diana,Diaz,Marina,Paul","Perks.Prospection,Perks.MiningFiesta,Perks.PetXPBuff,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingXPBuff,Perks.Marauder,Perks.Benediction",Paul,Cole
159,"Sep 11, 2021","Aatrox,Cole,Diana,Diaz,Marina","Perks.Pathfinder,Perks.Prospection,Perks.MiningFiesta,Perks.Lucky,Perks.PetXPBuff,Perks.MythologicalRitual,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingXPBuff",Diana,Cole
160,"Sep 16, 2021","Barry,Cole,Diaz,Jerry,Marina","Perks.ArcaneCatalyst,Perks.Prospection,Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.Perkpocalypse,Perks.Statspocalypse,Perks.Jerrypocalypse,Perks.FishingXPBuff",Jerry,Barry
161,"Sep 21, 2021","Cole,Diaz,Foxy,Marina,Paul","Perks.MiningFiesta,Perks.Prospection,Perks.MiningXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.FishingXPBuff,Perks.FishingFestival,Perks.EZPZ",Cole,Marina
162,"Sep 26, 2021","Aatrox,Barry,Diana,Foxy,Marina","Perks.Pathfinder,Perks.ArcaneCatalyst,Perks.MythologicalRitual,Perks.ATimeForGiving,Perks.ExtraEventSpooky_Festival,Perks.FishingXPBuff,Perks.FishingFestival",Marina,Diana
163,"Oct 1, 2021","Aatrox,Diana,Diaz,Foxy,Paul","Perks.Pathfinder,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventSpooky_Festival,Perks.EZPZ",Diana,Diaz
164,"Oct 7, 2021","Barry,Cole,Diaz,Foxy,Marina","Perks.ArcaneCatalyst,Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.FishingFestival",Foxy,Diaz
165,"Oct 12, 2021","Barry,Diana,Diaz,Marina,Paul","Perks.ArcaneCatalyst,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingFestival,Perks.LuckOfTheSea,Perks.EZPZ",Marina,Diaz
166,"Oct 17, 2021","Cole,Diana,Diaz,Foxy,Paul","Perks.Prospection,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.SweetBenevolence,Perks.EZPZ,Perks.Marauder",Paul,Diaz
167,"Oct 22, 2021","Aatrox,Barry,Diana,Diaz,Foxy","Perks.Pathfinder,Perks.ArcaneCatalyst,Perks.Lucky,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving",Aatrox,Diana
168,"Oct 27, 2021","Barry,Diaz,Marina,Paul,Scorpius","Perks.ArcaneCatalyst,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingFestival,Perks.Marauder,Perks.Bribe,Perks.DarkerAuctions",Scorpius,Paul
169,"Nov 1, 2021","Aatrox,Barry,Cole,Foxy,Marina","Perks.SlayerXPBuff,Perks.ArcaneCatalyst,Perks.Prospection,Perks.ATimeForGiving,Perks.FishingFestival,Perks.FishingXPBuff",Marina,Aatrox
170,"Nov 7, 2021","Barry,Diana,Diaz,Foxy,Paul","Perks.ArcaneCatalyst,Perks.PetXPBuff,Perks.Lucky,Perks.MythologicalRitual,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventSpooky_Festival,Perks.Marauder",Diana,Diaz
171,"Nov 12, 2021","Aatrox,Cole,Diaz,Foxy,Marina","Perks.SlayerXPBuff,Perks.SlashedPricing,Perks.Prospection,Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventFishing_Festival,Perks.FishingXPBuff",Foxy,Cole
172,"Nov 17, 2021",Foxy,"Perks.SweetBenevolence,Perks.ExtraEventMining_Fiesta,Perks.ATimeForGiving,Perks.ChivalrousCarnival",,
173,"Nov 22, 2021",Paul,"Perks.Marauder,Perks.Benediction",,
174,"Nov 27, 2021",Diana,"Perks.Lucky,Perks.MythologicalRitual",,
175,"Dec 3, 2021",Marina,"Perks.FishingXPBuff,Perks.FishingFestival",,
176,"Dec 8, 2021",Derpy,"Perks.QuadTaxes,Perks.TurboMinions,Perks.DoubleMobsHP,Perks.MoarSkillz",,
177,"Dec 13, 2021","Aatrox,Cole,Diaz,Foxy,Marina","Perks.SlayerXPBuff,Perks.SlashedPricing,Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventUnknown,Perks.FishingXPBuff",Aatrox,Diaz
178,"Dec 18, 2021","Aatrox,Diana,Diaz,Foxy,Marina","Perks.SlashedPricing,Perks.MythologicalRitual,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventUnknown,Perks.LuckOfTheSea",Diana,Aatrox
